Instrument_Key,Name,Trading_Symbol,InstrumentType,AssetSymbol,Instrument,TradeDate,TradeHour_IST,TradeMinute,TradingSession,Day_Spread,Hourly_Spread,DailyGain,HourlyGain,Timestamp,ist_ts,HourBucket,Open,High,Low,Close,Volume_S,Volume_H,Volume_L,Volume_D,Value,Total_Buy_Quantity,Total_Sell_Quantity,OpenInterest,ChangeOI,DailyGain_Bucket,HourlyGain_Bucket,Day_Spread_Bucket,Hour_Spread_Bucket,Volume_D_Bucket,Volume_S_Bucket,Volume_H_Bucket,Volume_L_Bucket,OI_Bucket,ChangeOI_Bucket,BuyQty_bin,SellQty_bin,Volume_bin,OpenInterest_bin,Spread_bin,Gain_bin
NSE_FO|54445-20250131,BANKNIFTY,BANKNIFTY FUT 24 APR 25,FUT,BANKNIFTY,NSE_FO|54445,2025-01-31,9,33,Opening Session (9 AM - 10 AM),1.0,149.90000000000146,-0.5,0.2,2025-01-31T09:33:00+05:30,2025-01-31T09:33:00,09:00-10:00,50176.1,50176.1,50176.1,50176.1,1000,12570,30,166960,1505283.0,21921607000.0,21921607000.0,219216070000.0,73862550000.0,Loss 0% to 1%,Hourly Gain 0% to 2%,Day Spread 1% to 2%,Hour Spread More than 3%,Daily Volume 1L to 5L,Max Volume Upto 10K,Hour Volume Upto 25K,Min Volume Upto 1K,OI_More than 10L,OI_Up_More_than_10L,4,4,1,4,1,3
NSE_FO|54445-20250131,BANKNIFTY,BANKNIFTY FUT 24 APR 25,FUT,BANKNIFTY,NSE_FO|54445,2025-01-31,9,52,Opening Session (9 AM - 10 AM),1.0,149.90000000000146,-0.5,0.2,2025-01-31T09:52:00+05:30,2025-01-31T09:52:00,09:00-10:00,50180.0,50180.0,50179.35,50180.0,1000,12570,30,166960,10537800.0,24376177000.0,24376177000.0,243761770000.0,147541860000.0,Loss 0% to 1%,Hourly Gain 0% to 2%,Day Spread 1% to 2%,Hour Spread More than 3%,Daily Volume 1L to 5L,Max Volume Upto 10K,Hour Volume Upto 25K,Min Volume Upto 1K,OI_More than 10L,OI_Up_More_than_10L,4,4,1,4,1,3
NSE_FO|54445-20250204,BANKNIFTY,BANKNIFTY FUT 24 APR 25,FUT,BANKNIFTY,NSE_FO|54445,2025-02-04,9,32,Opening Session (9 AM - 10 AM),20.19999999999709,591.25,0.5,1.0310191112583516,2025-02-04T09:32:00+05:30,2025-02-04T09:32:00,09:00-10:00,50529.8,50550.0,50529.8,50539.5,1770,15380,30,158510,15161850.0,7158151000.0,7158151000.0,71581510000.0,147624660000.0,Gain 0% to 1%,Hourly Gain 0% to 2%,Day Spread More than 5%,Hour Spread More than 3%,Daily Volume 1L to 5L,Max Volume Upto 10K,Hour Volume Upto 25K,Min Volume Upto 1K,OI_More than 10L,OI_Up_More_than_10L,2,2,1,2,4,4
NSE_FO|54445-20250204,BANKNIFTY,BANKNIFTY FUT 24 APR 25,FUT,BANKNIFTY,NSE_FO|54445,2025-02-04,9,46,Opening Session (9 AM - 10 AM),17.650000000001455,591.25,-0.5,1.0310191112583516,2025-02-04T09:46:00+05:30,2025-02-04T09:46:00,09:00-10:00,50777.8,50777.8,50760.15,50765.0,1770,15380,30,158510,9137700.0,19459936000.0,19459936000.0,194599360000.0,49153140000.0,Loss 0% to 1%,Hourly Gain 0% to 2%,Day Spread More than 5%,Hour Spread More than 3%,Daily Volume 1L to 5L,Max Volume Upto 10K,Hour Volume Upto 25K,Min Volume Upto 1K,OI_More than 10L,OI_Up_More_than_10L,4,4,1,4,4,2
NSE_FO|54445-20250204,BANKNIFTY,BANKNIFTY FUT 24 APR 25,FUT,BANKNIFTY,NSE_FO|54445,2025-02-04,9,23,Opening Session (9 AM - 10 AM),1.0,591.25,0.5,1.0310191112583516,2025-02-04T09:23:00+05:30,2025-02-04T09:23:00,09:00-10:00,50519.95,50520.0,50519.95,50520.0,1770,15380,30,158510,3031200.0,14534263000.0,14534263000.0,145342630000.0,49132980000.0,Gain 0% to 1%,Hourly Gain 0% to 2%,Day Spread 1% to 2%,Hour Spread More than 3%,Daily Volume 1L to 5L,Max Volume Upto 10K,Hour Volume Upto 25K,Min Volume Upto 1K,OI_More than 10L,OI_Up_More_than_10L,3,3,1,3,4,4
NSE_FO|54445-20250205,BANKNIFTY,BANKNIFTY FUT 24 APR 25,FUT,BANKNIFTY,NSE_FO|54445,2025-02-05,9,19,Opening Session (9 AM - 10 AM),10.0,257.0,-0.5,0.46607117483059429,2025-02-05T09:19:00+05:30,2025-02-05T09:19:00,09:00-10:00,51175.0,51175.0,51165.0,51165.0,1080,14060,30,195920,24559200.0,19459621000.0,19459621000.0,194596210000.0,123018390000.0,Loss 0% to 1%,Hourly Gain 0% to 2%,Day Spread More than 5%,Hour Spread More than 3%,Daily Volume 1L to 5L,Max Volume Upto 10K,Hour Volume Upto 25K,Min Volume Upto 1K,OI_More than 10L,OI_Up_More_than_10L,4,4,1,4,4,2
NSE_FO|54445-20250205,BANKNIFTY,BANKNIFTY FUT 24 APR 25,FUT,BANKNIFTY,NSE_FO|54445,2025-02-05,9,44,Opening Session (9 AM - 10 AM),12.69999999999709,257.0,0.5,0.46607117483059429,2025-02-05T09:44:00+05:30,2025-02-05T09:44:00,09:00-10:00,51220.0,51232.7,51220.0,51232.7,1080,14060,30,195920,6147924.0,21920212000.0,21920212000.0,219202120000.0,49254120000.0,Gain 0% to 1%,Hourly Gain 0% to 2%,Day Spread More than 5%,Hour Spread More than 3%,Daily Volume 1L to 5L,Max Volume Upto 10K,Hour Volume Upto 25K,Min Volume Upto 1K,OI_More than 10L,OI_Up_More_than_10L,4,4,1,4,4,4
NSE_FO|54445-20250205,BANKNIFTY,BANKNIFTY FUT 24 APR 25,FUT,BANKNIFTY,NSE_FO|54445,2025-02-05,9,27,Opening Session (9 AM - 10 AM),34.19999999999709,257.0,0.5,0.46607117483059429,2025-02-05T09:27:00+05:30,2025-02-05T09:27:00,09:00-10:00,51107.8,51142.0,51107.8,51142.0,1080,14060,30,195920,6137040.0,4704013000.0,4704013000.0,47040130000.0,210397100.0,Gain 0% to 1%,Hourly Gain 0% to 2%,Day Spread More than 5%,Hour Spread More than 3%,Daily Volume 1L to 5L,Max Volume Upto 10K,Hour Volume Upto 25K,Min Volume Upto 1K,OI_More than 10L,OI_Up_More_than_10L,1,1,1,1,4,4
NSE_FO|54445-20250207,BANKNIFTY,BANKNIFTY FUT 24 APR 25,FUT,BANKNIFTY,NSE_FO|54445,2025-02-07,9,33,Opening Session (9 AM - 10 AM),1.0,124.94999999999709,-0.5,0.2,2025-02-07T09:33:00+05:30,2025-02-07T09:33:00,09:00-10:00,51228.1,51228.1,51228.1,51228.1,1000,12330,30,150030,51228100.0,2249407000.0,2249407000.0,22494070000.0,122838750000.0,Loss 0% to 1%,Hourly Gain 0% to 2%,Day Spread 1% to 2%,Hour Spread More than 3%,Daily Volume 1L to 5L,Max Volume Upto 10K,Hour Volume Upto 25K,Min Volume Upto 1K,OI_More than 10L,OI_Up_More_than_10L,1,1,1,1,4,2
NSE_FO|54445-20250212,BANKNIFTY,BANKNIFTY FUT 24 APR 25,FUT,BANKNIFTY,NSE_FO|54445,2025-02-12,9,55,Opening Session (9 AM - 10 AM),11.900000000001455,568.19999999999709,0.5,-0.82358776104477627,2025-02-12T09:55:00+05:30,2025-02-12T09:55:00,09:00-10:00,49808.85,49811.9,49800.0,49809.3,1350,20550,60,149280,22414185.0,9618886000.0,9618886000.0,96188860000.0,73704960000.0,Gain 0% to 1%,Hourly Loss 0% to 2%,Day Spread More than 5%,Hour Spread More than 3%,Daily Volume 1L to 5L,Max Volume Upto 10K,Hour Volume Upto 25K,Min Volume Upto 1K,OI_More than 10L,OI_Up_More_than_10L,2,2,1,2,4,4
